Constituency,Seats,Electorate,Party,Candidate(s),Votes
Aljunied GRC,5,"143,148",Workers' Party,Low Thia Khiang,"72,289"
,,,,Sylvia Lim,
,,,,Chen Show Mao,
,,,,Pritam Singh,
,,,,Faisal Manap,
,,,People's Action Party,George Yeo,"59,829"
,,,,Lim Hwee Hua,
,,,,Zainul Abidin,
,,,,Cynthia Phua,
,,,,Ong Ye Kung,
Ang Mo Kio GRC,6,"179,071",People's Action Party,Lee Hsien Loong,"112,677"
,,,,Yeo Guat Kwang,
,,,,Inderjit Singh,
,,,,Seng Han Thong,
,,,,Ang Hin Kee,
,,,,Intan Azura Mokhtar,
,,,Reform Party,Alex Tan,"49,851"
,,,,Arthero Lim,
,,,,Vignes Ramachandran,
,,,,Lim Zi Rui,
,,,,Mansor Rahman,
,,,,Osman Sulaiman,
Bishan–Toa Payoh GRC,5,"122,492",People's Action Party,Wong Kan Seng,"62,385"
,,,,Ng Eng Hen,
,,,,Josephine Teo,
,,,,Hri Kumar,
,,,,Zainudin Nordin,
,,,Singapore People's Party,Chiam See Tong,"47,205"
,,,,Benjamin Pwee,
,,,,Wilfred Leung,
,,,,Jimmy Lee,
,,,,Mohamad Hamim Aliyas,
Chua Chu Kang GRC,5,"158,648",People's Action Party,Gan Kim Yong,"89,710"
,,,,Alvin Yeo,
,,,,Zaqy Mohamad,
,,,,Alex Yam,
,,,,Low Yen Ling,
,,,National Solidarity Party,Sebastian Teo,"56,885"
,,,,Tony Tan,
,,,,Hazel Poa,
,,,,Nor Lella Mardiiiah Mohamed,
,,,,Jeisilan Sivalingam,
East Coast GRC,5,"120,324",People's Action Party,Lim Swee Say,"59,992"
,,,,Maliki Osman,
,,,,Lee Yi Shyan,
,,,,Jessica Tan,
,,,,Raymond Lim,
,,,Workers' Party,Eric Tan,"49,429"
,,,,Png Eng Huat,
,,,,Glenda Han,
,,,,Gerald Giam,
,,,,Mohamed Fazli Bin Talip,
Holland–Bukit Timah GRC,4,"91,607",People's Action Party,Vivian Balakrishnan,"48,773"
,,,,Christopher de Souza,
,,,,Liang Eng Hwa,
,,,,Sim Ann,
,,,Singapore Democratic Party,Tan Jee Say,"32,406"
,,,,Ang Yong Guan,
,,,,Vincent Wijeysingha,
,,,,Michelle Lee,
Jurong GRC,5,"125,276",People's Action Party,Tharman Shanmugaratnam,"76,595"
,,,,Halimah Yacob,
,,,,Ang Wei Neng,
,,,,Desmond Lee,
,,,,David Ong,
,,,National Solidarity Party,Christopher Neo,"37,786"
,,,,Abdul Rasheed,
,,,,Elvin Ong,
,,,,Ong Hock Siong,
,,,,Noraini Yunus,
Marine Parade GRC,5,"154,451",People's Action Party,Goh Chok Tong,"78,286"
,,,,Tan Chuan-Jin,
,,,,Fatimah Lateef,
,,,,Seah Kian Peng,
,,,,Tin Pei Ling,
,,,National Solidarity Party,Cheo Chai Chen,"59,926"
,,,,Ivan Yeo,
,,,,Abdul Salim Harun,
,,,,Spencer Ng,
,,,,Nicole Seah,
Moulmein–Kallang GRC,4,"87,595",People's Action Party,Lui Tuck Yew,"44,886"
,,,,Yaacob Ibrahim,
,,,,Denise Phua,
,,,,Edwin Tong,
,,,Workers' Party,Mohd Rahizan,"31,773"
,,,,Toh Hong Boon,
,,,,L Somasundram,
,,,,Frieda Chan,
Nee Soon GRC,5,"148,290",People's Action Party,K. Shanmugam,"80,740"
,,,,Muhammad Faishal Ibrahim,
,,,,Lee Bee Wah,
,,,,Lim Wee Kiak,
,,,,Patrick Tay,
,,,Workers' Party,John Yam,"57,523"
,,,,Angela Faye Oon,
,,,,Sajeev K. R. Kamalasanan,
,,,,Watson Chong,
,,,,Poh Lee Guan,
Pasir Ris–Punggol GRC,6,"168,971",People's Action Party,Teo Chee Hean,"100,493"
,,,,Teo Ser Luck,
,,,,Penny Low,
,,,,Janil Puthucheary,
,,,,Gan Thiam Poh,
,,,,Zainal Sapari,
,,,Singapore Democratic Alliance,Harminder Pal Singh,"54,601"
,,,,Sidney Soon,
,,,,Jeffrey Lim,
,,,,Lee Song Juan,
,,,,Tan Keng Hong,
,,,,Mohammad Shafni Ahmad,
Sembawang GRC,5,"142,459",People's Action Party,Khaw Boon Wan,"84,252"
,,,,Ellen Lee,
,,,,Hawazi Daipi,
,,,,Ong Teng Koon,
,,,,Vikram Nair,
,,,Singapore Democratic Party,James Gomez,"47,605"
,,,,John Tan,
,,,,Jarrod Luo,
,,,,Mohd Isa Abdul Aziz,
,,,,Sadasivam Veriyah,
Tampines GRC,5,"137,532",People's Action Party,Mah Bow Tan,"72,728"
,,,,Ng Phek Hoong Irene,
,,,,Masagos Zulkifli Bin Masagos Mohamad,
,,,,Baey Yam Keng,
,,,,Heng Swee Keat,
,,,National Solidarity Party,Goh Meng Seng,"54,381"
,,,,Reno Fong,
,,,,Syafarin Sarif,
,,,,Raymond Lim,
,,,,Gilbert Goh,
Tanjong Pagar GRC,5,"139,771",People's Action Party,Lee Kuan Yew,Uncontested Walkover
,,,,Lily Neo,
,,,,Indranee Rajah,
,,,,Chan Chun Sing,
,,,,Chia Shi-Lu,
West Coast GRC,5,"121,045",People's Action Party,Lim Hng Kiang,"72,563"
,,,,Arthur Fong,
,,,,S. Iswaran,
,,,,Foo Mee Har,
,,,,Lawrence Wong,
,,,Reform Party,Kenneth Jeyaretnam,"36,443"
,,,,Frankie Low,
,,,,Andy Zhu,
,,,,Kumar Appavoo,
,,,,Haren Hu,
Bukit Panjang SMC,1,"33,053",People's Action Party,Teo Ho Pin,"20,375"
,,,Singapore Democratic Party,Alec Tok,"10,372"
Hong Kah North SMC,1,"27,701",People's Action Party,Amy Khor,"18,156"
,,,Singapore People's Party,Sin Kek Tong,"7,556"
Hougang SMC,1,"24,560",Workers' Party,Yaw Shin Leong,"14,850"
,,,People's Action Party,Desmond Choo,8065
Joo Chiat SMC,1,"22,069",People's Action Party,Charles Chong,"9,666"
,,,Workers' Party,Yee Jenn Jong,"9,278"
Mountbatten SMC,1,"23,731",People's Action Party,Lim Biow Chuan,"11,985"
,,,National Solidarity Party,Jeannette Chong-Aruldoss,"8,461"
Pioneer SMC,1,"25,745",People's Action Party,Cedric Foo,"14,593"
,,,National Solidarity Party,Steve Chia,"9,437"
Potong Pasir SMC,1,"17,327",People's Action Party,Sitoh Yih Pin,"7,992"
,,,Singapore People's Party,LinaChiam,"7,878"
Punggol East SMC,1,"33,281",People's Action Party,Michael Palmer,"16,994"
,,,Workers' Party,Lee Li Lian,"12,777"
,,,"Singapore Democratic Alliance (Loses S$16,000 deposit) ",Desmond Lim,"1,387"
Radin Mas SMC,1,"31,014",People's Action Party,Sam Tan,"18,609"
,,,National Solidarity Party,Yip Yew Weng,"9,123"
Sengkang West SMC,1,"26,882",People's Action Party,Lam Pin Min,"14,689"
,,,Workers' Party,Koh Choong Yong,"10,591"
