Constituency,Seats,Electorate,Party,Candidates,Votes,%
,,,,Tony Tan,,
,,,,Teo Ho Pin,,
Tampines GRC,4,"94,476",People's Action Party,Aline Wong,Uncontested,
,,,,Mah Bow Tan,,
,,,,Sin Boon Ann,,
,,,,Yatiman Yusof,,
Tanjong Pagar GRC,6,"141,520",People's Action Party,Chay Wai Chuen,Uncontested,
,,,,Koo Tsai Kee,,
,,,,Lee Kuan Yew,,
,,,,Lim Swee Say,,
,,,,Ow Chin Hock,,
,,,,S. Vasoo,,
West Coast GRC,4,"74,022",People's Action Party,Bernard Chen,"48,275",70.14
,,,,Lim Hng Kiang,,
,,,,S. Iswaran,,
,,,,Wan Soon Bee,,
,,,Workers' Party,Mike Chan,"20,550",29.8
,,,,Anthony D'Cruz,,
,,,,John Gan,,
,,,,Ng Teck Siong,,
