Constituency,Seats,Electorate,Party,Candidates,Votes,%
,,,,Tay Eng Soon,,
,,,Workers' Party,Lee Siew Choh,"41,673",47.62
,,,,Jufrie Mahmood,,
,,,,Neo Choon Aik,,
,,,,Wee Han Kim,,
Hong Kah GRC,4,"64,712",People's Action Party,Chen John,Uncontested,
,,,,Kenneth Chen Koon Lap Kenneth,,
,,,,Harun bin Abdul Ghani,,
,,,,Yeo Cheow Tong,,
Hougang SMC,1,"21,476",Workers' Party,Low Thia Khiang,"10,621",52.82
,,,People's Action Party,Tang Guan Seng,"9,487",47.18
Jalan Besar GRC,4,"82,615",People's Action Party,Choo Wee Khiang,Uncontested,
,,,,Lee Boon Yang,,
,,,,Peh Chin Hua,,
,,,,Zulkifli Mohammed,,
Jurong SMC,1,"31,246",People's Action Party,Ho Kah Leong,"18,843",64.32
,,,Workers' Party,John Gan Eng Guan,"8,965",30.6
,,,Pertubuhan Kebangsaan Melayu Singapura,Mohamed Awang,"1,489",5.08
Kampong Glam GRC,4,"73,317",People's Action Party,Loh Meng See,Uncontested,
,,,,R Sinnakaruppan,,
,,,,Wong Kwei Cheong,,
,,,,Yeo Ning Hong,,
Kreta Ayer SMC,1,"17,310",People's Action Party,Richard Hu,Uncontested,
Leng Kee SMC,1,"19,027",People's Action Party,Ow Chin Hock,"13,331",76.57
,,,Independent,G K Niddy,"4,080",23.43
Marine Parade GRC,4,"74,032",People's Action Party,Goh Chok Tong,"51,685",77.25
,,,,Lim Chee Onn,,
,,,,Othman Haron Eusofe,,
,,,,Matthias Yao,,
,,,Singapore Justice Party,Aminuddin Bin Ami,"15,222",22.75
,,,,Rajasekaran K S M,,
,,,,Suib Bin Abdul Rahman,,
,,,,Theng Chin Eng,,
Mountbatten SMC,1,"15,497",People's Action Party,Eugene Yap Giau Cheng,"11,029",77.95
,,,Independent,Yen Kim Khooi,"3,119",22.05
Nee Soon Central SMC,1,"26,806",Singapore Democratic Party,Cheo Chai Chen,"12,709",50.33
,,,People's Action Party,Ng Pock Too,"12,541",49.67
Nee Soon South SMC,1,"27,722",People's Action Party,Koh Lip Lin,"13,719",52.76
,,,Singapore Democratic Party,Low Yong Nguan,"12,284",47.24
