Constituency,Seats,Electorate,Party,Candidate(s),Votes
,,,,Lim Swee Say,
,,,,Vivian Balakrishnan,
,,,,,
Hong Kah GRC,5,"144,677",People's Action Party,Amy Khor,Uncontested
,,,,Ang Mong Seng,Walkover
,,,,Yeo Cheow Tong,
,,,,Alvin Yeo,
,,,,Zaqy B Mohamad,
,,,,,
Jalan Besar GRC,5,"93,025",People's Action Party,Denise Phua,"58,913"
,,,,Heng Chee How,
,,,,Lee Boon Yang,
,,,,Lily Neo,
,,,,Yaacob Ibrahim,
,,,Singapore Democratic Alliance,Cheo Chai Chen,"26,151"
,,,,Reno Fong,
,,,,Muhamad Ali Aman,
,,,,Sebastian Teo,
,,,,Vincent Yeo,
,,,,,
Jurong GRC,5,"116,636",People's Action Party,Grace Fu,Uncontested
,,,,Halimah Bte Yacob,Walkover
,,,,Lim Boon Heng,
,,,,Ong Chit Chung,
,,,,Tharman Shanmugaratnam,
,,,,,
Tampines GRC,5,"126,163",People's Action Party,Mah Bow Tan,"80,376"
,,,,Masagos Zulkifli Bin Masagos Mohamad,
,,,,Irene Ng Phek Hoong,
,,,,Ong Kian Min,
,,,,Sin Boon Ann,
,,,Singapore Democratic Alliance,Abdul Rahman bin Mohamad,"36,948"
,,,,Arthero Lim,
,,,,Ng Say Eng,
,,,,Ong Hock Siong,
,,,,Tan Lead Shake,
West Coast GRC,5,"137,739",People's Action Party,Fong Jen Arthur,Uncontested
,,,,Cederic Foo,Walkover
,,,,Madeleine Ho,
,,,,S Iswaran,
,,,,Lim Hng Kiang,
,,,,,
Tanjong Pagar GRC,6,"148,141",People's Action Party,Baey Yam Keng,Uncontested
,,,,Indranee Thurai Rajah,Walkover
,,,,Koo Tsai Kee,
,,,,Lee Kuan Yew,
,,,,Lui Tuck Yew,
,,,,Tan Chin Siong,
Pasir Ris–Punggol GRC,6,"178,443",People's Action Party,Ahmad Bin Mohd Magad,"113,322"
,,,,Charles Chong,
,,,,Michael Anthony Palmer,
,,,,Penny Low,
,,,,Teo Chee Hean,
,,,,Teo Ser Luck,
,,,Singapore Democratic Alliance,Ishak Bin Haroun,"51,618"
,,,,Desmond Lim,
,,,,Lineker Lee,
,,,,Mohd Hamim Bin Aliyas,
,,,,Elvin Ong,
,,,,Yen Kim Khooi,
,,,,,
Sembawang GRC,6,"184,804",People's Action Party,Ellen Lee,"130,170"
,,,,Hawazi Daipi,
,,,,K Shanmugam,
,,,,Khaw Boon Wan,
,,,,Lim Wee Kiak,
,,,,Mohd Maliki Osman,
,,,Singapore Democratic Party,Chee Siok Chin,"39,537"
,,,,Christopher Neo,
,,,,Francis Yong,
,,,,Gerald Sng,
,,,,Mohd Isa Abdul Aziz,
,,,,Narayanasamy Gogelavany,
,,,,,
Marine Parade GRC,6,"155,149",People's Action Party,Fatimah Lateef,Uncontested
,,,,Goh Chok Tong,Walkover
,,,,Lim Biow Chuan,
,,,,Muhammad Faishal Ibrahim,
,,,,Ong Seh Hong,
,,,,Seah Kian Peng,
,,,,,
Ang Mo Kio GRC,6,"159,872",People's Action Party,Inderjit Singh,"96,636"
,,,,Lam Pin Min,
,,,,Lee Bee Wah,
,,,,Lee Hsien Loong,
,,,,Balaji Sadasivan,
,,,,Wee Siew Kim,
,,,Workers' Party,Abdul Salim Bin Harun,"49,479"
,,,,Gopal Krishnan,
,,,,Han Su May,
,,,,Lee Wai Leng,
,,,,Melvin Tan Kian Hwee,
,,,,Yaw Shin Leong,
