Constituency,Seats,Electorate,Party,Candidate(s),Votes
Bukit Panjang SMC,1,"30,452",People's Action Party,Teo Ho Pin,"21,652"
,,,Singapore Democratic Party,Ling How Doong,"6,400"
,,,,,
Chua Chu Kang SMC,1,"24,975",People's Action Party,Gan Kim Yong,"14,156"
,,,Singapore Democratic Alliance,Steve Chia,"9,292"
,,,,,
Hougang SMC,1,"23,759",Workers' Party,Low Thia Khiang,"13,989"
,,,People's Action Party,Eric Low,"8,308"
,,,,,
Joo Chiat SMC,1,"21,858",People's Action Party,Chan Soo Sen,"12,226"
,,,Workers' Party,Tan Bin Seng,"6,580"
,,,,,
MacPherson SMC,1,"21,041",People's Action Party,Matthias Yao,"13,184"
,,,Singapore Democratic Alliance,Sin Kek Tong,"6,067"
,,,,,
Nee Soon Central SMC,1,"23,152",People's Action Party,Ong Ah Heng,"14,211"
,,,Workers' Party,Lian Chin Way,"7,529"
,,,,,
Nee Soon East SMC,1,"32,586",People's Action Party,Ho Peng Kee,"20,949"
,,,Workers' Party,Poh Lee Guan,"9,535"
,,,,,
Potong Pasir SMC,1,"15,888",Singapore Democratic Alliance,Chiam See Tong,"8,245"
,,,People's Action Party,Sitoh Yih Pin,"6,527"
,,,,,
Yio Chu Kang SMC,1,"25,072",People's Action Party,Seng Han Thong,"15,726"
,,,Singapore Democratic Alliance,Yip Yew Weng,"7,307"
Aljunied GRC,5,"145,141",People's Action Party,Cynthia Phua,"74,843"
,,,,George Yeo Yong-Boon,
,,,,Lim Hwee Hua,
,,,,Yeo Guat Kwang,
,,,,Zainul Abidin Bin Mohamed Rasheed,
,,,Workers' Party,Goh Meng Seng,"58,593"
,,,,James Gomez,
,,,,Sylvia Lim[b],
,,,,Mohammed Rahizan Bin Yaacob,
,,,,Tan Wui-Hua,
,,,,,
,,,,,
Bishan–Toa Payoh GRC,5,"115,323",People's Action Party,Hri Kumar Sangaran,Uncontested
,,,,Ng Eng Hen,Walkover
,,,,Wong Kan Seng,
,,,,Josephine Teo,
,,,,Zainudin Bin Nordin,
,,,,,
East Coast GRC,5,"116,653",People's Action Party,Abdullah Tarmugi,"66,931"
,,,,Shunmugam Jayakumar,
,,,,Jessica Tan,
,,,,Lee Yi Shyan,
,,,,Raymond Lim,
,,,Workers' Party,Abdul Rahim Abdul Rahman,"37,873"
,,,,Brandon Siow,
,,,,Chia Ti Lik,
,,,,Eric Tan,
,,,,Perry Tong,
,,,,,
Holland–Bukit Timah GRC,5,"118,155",People's Action Party,Christopher de Souza,Uncontested
,,,,Foo Yee Shoon,Walkover
,,,,Liang Eng Hwa,
