"Year","Constituency","Electorate","PAP","WP","Others","No.Vote"
2020,"Bukit Batok SMC[188]",29948,15500,NA,12787,1661
2020,"Bukit Panjang SMC[189]",35437,18085,NA,15576,1776
2020,"Hong Kah North SMC[190]",28046,16347,NA,10457,1242
2020,"Hougang SMC[191]",26432,9791,15451,NA,1190
2020,"Kebun Baru SMC[192]",22623,13309,NA,7842,1472
2020,"MacPherson SMC[193]",28513,19009,NA,7489,2015
2020,"Marymount SMC[194]",23431,12173,NA,9943,1315
2020,"Mountbatten SMC[195]",24246,16285,NA,5775,2186
2020,"Pioneer SMC[196]",24653,14593,NA,8944,1116
2020,"Potong Pasir SMC[197]",19731,11264,NA,7302,1165
2020,"Punggol West SMC[198]",26587,15655,10017,NA,915
2020,"Radin Mas SMC[199]",24931,16864,NA,5922,2145
2020,"Yio Chu Kang SMC[200]",25962,14775,NA,9519,1668
2020,"Yuhua SMC[201]",21351,14131,NA,5901,1319
2020,"Bishan–Toa Payoh GRC[202]",101220,62983,NA,30696,7541
2020,"Chua Chu Kang GRC[203]",106632,59554,NA,42012,5066
2020,"Holland–Bukit Timah GRC[204]",114973,71218,NA,36100,7655
2020,"Jalan Besar GRC[205]",107720,64631,NA,34261,8828
2020,"Marsiling–Yew Tee GRC[206]",117077,69813,NA,40690,6574
2020,"Sengkang GRC[207]",120100,55319,60217,NA,4564
2020,"Aljunied GRC[208]",150821,57330,85815,NA,7676
2020,"Ang Mo Kio GRC[209]",185261,124597,NA,48677,11987
2020,"East Coast GRC[210]",121644,61144,53375,NA,7125
2020,"Jurong GRC[211]",131058,91846,NA,31260,7952
2020,"Marine Parade GRC[212]",139622,75203,55047,NA,9372
2020,"Nee Soon GRC[213]",146902,86308,NA,53131,7463
2020,"Pasir Ris–Punggol GRC[214]",166556,100932,NA,56384,9240
2020,"Sembawang GRC[215]",147786,94176,NA,45778,7832
2020,"Tampines GRC[216]",151589,94668,NA,47875,9046
2020,"Tanjong Pagar GRC[217]",134494,78330,NA,45807,10357
2020,"West Coast GRC[218]",146089,71658,NA,66996,7435
