Qtr,GDP,GDP.Qtr,GDP.Qtr.Lag,GDP.4Qtr
2000.2,47666.1,1.929047986,3.284912549,6.157032616
2000.1,46764,3.284912549,0.835606828,6.139012964
1999.4,45276.7,0.835606828,1.911746014,5.360562771
1999.3,44901.5,1.911746014,2.527395045,6.336899092
1999.2,44059.2,2.527395045,1.770012102,6.203342357
1999.1,42973.1,1.770012102,1.783747171,2.731254154
1998.4,42225.7,1.783747171,-0.824516024,0.19314593
1998.3,41485.7,-0.824516024,-0.744347397,-4.098597508
1998.2,41830.6,-0.744347397,-2.576129195,-4.0919127
1998.1,42144.3,-2.576129195,-0.817602997,-1.846421859
1997.4,43258.7,-0.817602997,1.579519809,4.070315733
1997.3,43615.3,1.579519809,3.296621342,8.132639147
1997.2,42937.1,3.296621342,3.053923392,9.318685236
1997.1,41566.8,3.053923392,2.693688418,5.801860138
1996.4,40335,2.693688418,-0.026471591,2.535748332
1996.3,39277,-0.026471591,-0.12735939,3.242883767
1996.2,39287.4,-0.12735939,3.401913083,4.276439768
1996.1,39337.5,3.401913083,0.974355163,8.549581668
1995.4,38043.3,0.974355163,3.965319323,8.135003539
1995.3,37676.2,3.965319323,3.006995193,6.657721009
1995.2,36239.2,3.006995193,-0.405102422,4.10810935
1995.1,35181.3,-0.405102422,1.480068488,4.170207474
1994.4,35324.4,1.480068488,3.068436528,5.789549342
1994.3,34809.2,3.068436528,1.143115551,7.46465872
1994.2,33772.9,1.143115551,3.086940012,8.383343068
1994.1,33391.2,3.086940012,3.949538841,9.026437716
1993.4,32391.3,3.949538841,1.743250171,10.31407087
1993.3,31160.6,1.743250171,4.304426008,8.478647594
1993.2,30626.7,4.304426008,2.220009678,9.483516719
1993.1,29362.8,2.220009678,2.685727359,7.783455202
1992.4,28725.1,2.685727359,2.684785481,6.708991014
1992.3,27973.8,2.684785481,1.201005977,5.736673206
1992.2,27242.4,1.201005977,1.750068982,3.803507061
1992.1,26919.1,1.750068982,0.807416496,4.260008056
